Model,label,alpha,n_cluster,val_AUROC,val_std_AUROC, val_AUPRC, val_std_AUPRC,test_AUROC,test_std_AUROC, test_AUPRC, test_std_AUPRC
AFP,Y,0.8,40,0.7154373196160602,0.03388761649038237,0.6377564510431033,0.05922401874407993,0.7742550394390886,0.04451053363760395,0.6991659514396852,0.04453079699647498
Weave,Y,0.05,40,0.8780560851071446,0.034551440191232415,0.828656562309488,0.05417314602079265,0.8947326906222612,0.004811512924936862,0.8694520502798454,0.00779231353822513
Weave,Y,0.02,40,0.8800024114852489,0.0324183317627274,0.8311442627314289,0.04862029922577058,0.8997458369851008,0.007631304785867507,0.8777494907766901,0.006390646600567996
GCN,Y,0.05,40,0.8410053281860124,0.03579348266841298,0.786734752272791,0.051944131418564736,0.8551621384750219,0.005308946308795799,0.8102037915996172,0.009655231168933779
GCN,Y,0.02,40,0.8423388033453854,0.017868885883596336,0.7787325777514812,0.03472872830035297,0.8664680105170902,0.009753045902843156,0.8358979368476893,0.017477670490181545
Weave,Y,0.01,40,0.8815516337423949,0.03358089487449063,0.828646502043781,0.04174452054645161,0.8993251533742331,0.0031830732358502697,0.875907594782347,0.00565799500987738
GCN,Y,0.01,40,0.822476301559206,0.03815150266216767,0.7564215261287488,0.046314702043753146,0.8661612620508325,0.014945574098702575,0.8385663374805696,0.024970084641945306
GAT,Y,0.03,40,0.8050034076852013,0.03875490511783702,0.7407440681153563,0.05621169124142646,0.8554864154250656,0.01444620920575724,0.7904187444259719,0.035178564893455354
GAT,Y,0.04,40,0.8112477786937358,0.03782297104386542,0.7319865253427761,0.0682482698342115,0.8695267309377739,0.012319874597192698,0.8286593525230759,0.014471289754571086
Weave,Y,0.03,40,0.8752634654642482,0.03148540474948081,0.8230339828287596,0.0488181271790869,0.8965381244522348,0.004764959616882441,0.8754570264407565,0.006433092422649487
Weave,Y,0.04,40,0.878524155884412,0.03215096812578792,0.824880329710329,0.05329465272537918,0.9000788781770377,0.00196530185666992,0.876422293426776,0.010349287911331254
GCN,Y,0.03,40,0.8314827916566513,0.03720779638135064,0.76910935615752,0.04217397418413255,0.8524452234881682,0.017385225273760956,0.7951673092801991,0.03594776332097272
GCN,Y,0.04,40,0.8358703453521216,0.042757060657866004,0.781527442313748,0.06364241722916499,0.8589482909728309,0.020406298416734178,0.8111673816563674,0.021898303499312856
